n001,n005,n009,n030,n070,n100,n500,n900
1.05738,1.22005,1.25468,2.35502,3.70394,3.89318,6.47006,8.68773
1.04838,1.41606,1.41216,1.91614,3.39251,3.13167,7.43695,8.84043
0.97405,1.2661,1.44619,3.00023,3.90267,4.14596,7.41166,7.626
1.19616,1.11752,1.465,2.54337,3.64593,3.79989,6.50031,8.63982
1.0941,1.25895,1.06969,2.45736,2.79853,4.60247,6.36597,8.13387
1.10078,1.23734,1.77363,2.11973,3.53222,4.41803,6.03906,7.03517
1.19393,1.20626,1.3745,2.22206,3.10349,4.02353,7.48011,7.32934
0.95957,1.23048,1.28971,2.719,3.3225,3.33184,7.21765,8.66188
1.05303,1.09774,1.40785,2.32735,3.76257,3.917,7.0821,7.06361
1.0334,1.07286,1.46347,2.40847,3.23539,3.9147,7.17589,8.91923
