vN1vS1ouS1ouT1,vN1vS1ouS1ouT2,vN1vS1ouS1ouT3,vN1vS1ouS1ouT4,vN1vS1ouS2ouT1,vN1vS1ouS2ouT2,vN1vS1ouS2ouT3,vN1vS1ouS2ouT4,vN1vS1ouS3ouT1,vN1vS1ouS3ouT2,vN1vS1ouS3ouT3,vN1vS1ouS3ouT4,vN1vS1ouS4ouT1,vN1vS1ouS4ouT2,vN1vS1ouS4ouT3,vN1vS1ouS4ouT4,vN1vS2ouS1ouT1,vN1vS2ouS1ouT2,vN1vS2ouS1ouT3,vN1vS2ouS1ouT4,vN1vS2ouS2ouT1,vN1vS2ouS2ouT2,vN1vS2ouS2ouT3,vN1vS2ouS2ouT4,vN1vS2ouS3ouT1,vN1vS2ouS3ouT2,vN1vS2ouS3ouT3,vN1vS2ouS3ouT4,vN1vS2ouS4ouT1,vN1vS2ouS4ouT2,vN1vS2ouS4ouT3,vN1vS2ouS4ouT4,vN2vS1ouS1ouT1,vN2vS1ouS1ouT2,vN2vS1ouS1ouT3,vN2vS1ouS1ouT4,vN2vS1ouS2ouT1,vN2vS1ouS2ouT2,vN2vS1ouS2ouT3,vN2vS1ouS2ouT4,vN2vS1ouS3ouT1,vN2vS1ouS3ouT2,vN2vS1ouS3ouT3,vN2vS1ouS3ouT4,vN2vS1ouS4ouT1,vN2vS1ouS4ouT2,vN2vS1ouS4ouT3,vN2vS1ouS4ouT4,vN2vS2ouS1ouT1,vN2vS2ouS1ouT2,vN2vS2ouS1ouT3,vN2vS2ouS1ouT4,vN2vS2ouS2ouT1,vN2vS2ouS2ouT2,vN2vS2ouS2ouT3,vN2vS2ouS2ouT4,vN2vS2ouS3ouT1,vN2vS2ouS3ouT2,vN2vS2ouS3ouT3,vN2vS2ouS3ouT4,vN2vS2ouS4ouT1,vN2vS2ouS4ouT2,vN2vS2ouS4ouT3,vN2vS2ouS4ouT4
0.98914,1.0121,0.99708,1.00147,0.02573,0.15588,0.21894,0.25589,0.03667,0.22937,0.33451,0.36404,0.04003,0.31122,0.39025,0.44185,0.94042,0.91904,0.99853,1.04533,0.96813,0.99225,0.99827,1.05767,0.99715,1.07512,1.02654,1.0707,1.00238,1.04866,1.17061,1.19124,0.34396,0.31719,0.32695,0.28426,0.37801,0.37498,0.36584,0.41791,0.33912,0.38313,0.41118,0.43532,0.3554,0.41987,0.45367,0.49095,2.6409,2.48811,2.52959,2.3707,2.75034,2.63708,2.63188,2.66261,2.72504,2.64839,2.89272,3.15893,2.83302,3.30513,3.44645,3.52976
0.98998,1.05739,0.995,0.89798,0.02342,0.15221,0.20434,0.2757,0.0317,0.23476,0.31673,0.38469,0.03809,0.28846,0.38048,0.46599,1.03522,1.07318,0.89534,1.04394,0.91364,1.02847,1.06863,1.08372,0.97261,0.96298,1.02328,1.14706,1.02428,1.10788,1.183,1.15028,0.33366,0.33731,0.30872,0.29936,0.32848,0.36245,0.36369,0.39238,0.30944,0.41657,0.45858,0.48971,0.37583,0.42254,0.43877,0.47479,2.81635,2.80613,2.17972,2.49334,2.65065,2.79502,2.68828,2.63474,2.58147,2.75386,2.81838,3.25549,2.84042,3.11615,3.0288,3.19814
0.98311,1.03836,1.04029,0.96673,0.02243,0.13611,0.21514,0.27791,0.03258,0.22612,0.31625,0.37776,0.04184,0.27773,0.40705,0.42638,1.03751,0.99709,0.96436,1.01045,0.93355,1.13933,1.02394,1.07163,1.05264,1.0711,1.05342,1.14206,0.99886,1.12207,1.19443,1.06722,0.35875,0.33674,0.31939,0.29072,0.37266,0.33167,0.3971,0.36939,0.32646,0.39111,0.43997,0.44218,0.33009,0.40804,0.50851,0.51652,2.43681,2.56503,2.42597,2.47954,2.52586,2.7489,2.77738,2.55664,2.60182,2.54817,2.84725,3.03086,2.80136,2.85435,3.15133,3.91453
1.03879,1.01118,1.01793,1.09968,0.02411,0.16242,0.2259,0.23999,0.03256,0.21609,0.35753,0.36705,0.0418,0.30213,0.37961,0.42434,1.0505,0.96852,0.98697,0.98632,0.96618,1.06813,1.01637,1.08725,0.91356,1.00847,1.06906,1.14241,0.93055,1.11726,1.1078,1.2043,0.3621,0.32787,0.32937,0.28251,0.34892,0.40401,0.39173,0.37918,0.39155,0.38848,0.42133,0.4625,0.3509,0.41343,0.47583,0.48257,2.21357,2.44832,2.46734,2.31879,2.34533,2.95,3.1289,2.4984,2.62874,3.03222,2.89444,2.93703,2.28325,2.92679,3.36716,3.51039
0.98043,1.00605,0.95684,0.99401,0.0199,0.16237,0.2331,0.26989,0.03161,0.23041,0.32855,0.39635,0.04366,0.28999,0.39048,0.44568,0.98977,0.96603,1.08389,1.06328,1.03672,1.1143,1.17394,1.08395,0.97396,1.12118,1.10503,1.14503,0.9745,1.06882,1.14934,1.20988,0.34085,0.32163,0.29747,0.29348,0.37033,0.36663,0.36853,0.39651,0.36988,0.41388,0.43705,0.47957,0.3505,0.41249,0.49337,0.51102,2.8057,2.25261,2.40605,2.33311,3.10734,2.62995,2.74862,2.56191,2.89765,2.86783,3.16866,3.18277,2.77434,3.06979,3.23929,3.25829
0.94001,1.02552,1.01173,1.06812,0.02606,0.13472,0.21197,0.2761,0.03349,0.22282,0.31421,0.39085,0.04136,0.27953,0.37527,0.42811,0.94088,0.93727,0.94289,1.0538,0.99011,1.04247,1.00057,1.05068,0.95477,1.0772,1.09609,1.10076,0.94486,1.17617,1.10189,1.20667,0.3418,0.30946,0.31035,0.29816,0.35059,0.34618,0.37667,0.39593,0.38937,0.42541,0.44002,0.43884,0.34698,0.46198,0.46588,0.50906,2.65891,2.36878,2.3709,2.22419,2.23292,2.5982,3.0673,2.46235,2.48263,2.66891,2.81015,2.78022,3.1437,3.00272,3.49089,3.60617
0.9006,1.01867,1.00978,1.01271,0.02508,0.13869,0.2022,0.26139,0.03482,0.23894,0.30588,0.36841,0.03694,0.29777,0.38035,0.43185,1.05761,1.04433,0.96832,0.98976,1.07193,1.025,1.10551,1.03747,1.02056,1.0216,1.05834,1.15725,0.98467,1.15531,1.22443,1.2657,0.32363,0.33792,0.3181,0.30213,0.3484,0.3685,0.38737,0.39782,0.36157,0.4246,0.45382,0.46991,0.38472,0.44978,0.45533,0.5232,2.73774,2.5239,2.49105,2.30299,2.44479,2.47526,2.93993,2.62534,2.72005,2.84183,2.73225,3.22579,2.64341,2.72798,3.03036,4.0098
0.95654,1.04185,0.96864,1.04292,0.02292,0.14384,0.20436,0.27979,0.04107,0.23414,0.32779,0.37109,0.04269,0.29318,0.39166,0.44353,0.93239,0.94297,1.05372,1.03453,1.01185,1.14002,0.99826,1.17795,0.98787,1.01848,1.07763,1.26758,1.00995,1.11362,1.08009,1.15569,0.36791,0.3555,0.31324,0.29972,0.3511,0.35809,0.36758,0.40915,0.35752,0.41019,0.43074,0.43045,0.38461,0.44938,0.46015,0.55615,2.51882,2.87435,2.46202,2.20228,2.38649,2.68677,2.69304,2.71486,2.64899,3.18754,2.81694,3.16931,2.78357,2.80704,3.06964,3.6094
0.99387,1.01121,1.02705,1.02991,0.0253,0.15143,0.23496,0.28053,0.03508,0.21996,0.3395,0.39064,0.04248,0.29789,0.39857,0.40915,1.03517,0.94756,0.97817,1.03942,0.975,1.13913,1.00148,1.17313,1.10325,1.10792,1.0563,1.19373,1.02429,1.14396,1.19121,1.12141,0.33353,0.32244,0.31891,0.29127,0.3568,0.35567,0.3712,0.39959,0.37028,0.39455,0.44018,0.44004,0.36909,0.42749,0.51399,0.45913,2.61954,2.37812,2.32057,2.2401,2.74933,2.54085,2.65039,2.59961,2.7437,2.78812,2.67375,3.29843,2.75146,3.01881,3.07866,3.4784
1.00054,1.01228,0.96385,0.98655,0.02682,0.1483,0.21436,0.26551,0.0381,0.22951,0.32914,0.37946,0.03791,0.2923,0.39465,0.45507,0.99004,1.01457,0.97131,0.97621,1.06181,1.08306,1.0899,1.04063,1.0101,1.11687,1.17774,1.17824,0.97854,1.00374,1.15678,1.15227,0.40093,0.32359,0.31173,0.26272,0.36345,0.38328,0.3689,0.38188,0.32519,0.42058,0.44878,0.49555,0.35625,0.412,0.50188,0.49048,2.59582,2.40568,2.63239,2.27094,2.64227,2.67454,3.0029,2.69362,2.51174,2.88002,3.13786,3.54535,2.92982,3.10294,3.14775,3.83502
